user_id,monthly_income,weekly_wage,checking_balance,savings_balance,total_needs,total_wants,actual_savings,savings_rate,num_expenses,budget_status,needs_groceries,needs_rent_mortgage,needs_utilities,needs_gas_transport,needs_insurance,needs_bills,needs_healthcare,needs_childcare,needs_other,wants_dining_out,wants_entertainment,wants_shopping,wants_subscriptions,wants_hobbies,wants_travel,wants_personal_care,wants_gifts,wants_other
41,5761.29,1330.55,0,0,4243.82,1827.2,-309.73,-0.0538,17,over,567.75,1860.86,250.98,401.43,241.78,278.89,216.55,290.45,135.13,463.33,0.0,416.26,113.1,282.4,122.58,241.4,37.0,151.13
42,8061.12,1861.69,7756.31,2537.13,4368.33,1586.72,2106.07,0.2613,14,healthy,606.24,1830.22,360.4,414.25,464.42,284.12,170.95,237.73,0.0,424.73,247.14,359.13,0.0,0.0,0.0,292.28,162.25,101.19
43,5407.53,1248.85,2418.06,2683.46,2911.24,1257.08,1239.21,0.2292,16,healthy,403.86,1115.97,271.27,256.29,273.68,178.05,122.41,210.26,79.45,374.45,306.87,0.0,42.79,65.46,0.0,235.79,137.22,94.5
44,5078.6,1172.89,464.75,875.0,2775.44,1047.32,1255.84,0.2473,12,healthy,554.64,1147.67,258.32,254.02,181.21,224.29,155.29,0.0,0.0,433.24,0.0,283.03,32.86,0.0,0.0,206.43,91.76,0.0
45,3874.6,894.83,1519.61,517.13,2767.58,581.98,525.04,0.1355,14,healthy,405.16,1262.29,163.14,300.24,183.68,160.25,132.64,160.18,0.0,168.87,141.41,0.0,51.26,60.04,0.0,107.51,52.89,0.0
46,6761.93,1561.65,1434.35,955.27,4371.57,1589.22,801.14,0.1185,16,healthy,582.26,2010.27,274.83,460.32,333.92,243.37,143.87,208.37,114.36,0.0,305.12,446.48,144.6,0.0,203.72,173.66,85.46,230.18
47,3354.68,774.75,1160.17,881.75,2540.0,486.29,328.39,0.0979,15,tight,284.31,1189.24,194.24,228.28,163.79,122.29,103.45,173.66,80.74,62.53,0.0,80.91,0.0,39.32,167.96,0.0,61.53,74.04
48,9639.09,2226.12,855.21,1372.14,5508.56,1935.86,2194.67,0.2277,15,healthy,736.63,2130.38,489.6,497.61,445.24,400.6,241.61,421.13,145.76,185.15,0.0,549.92,305.93,105.21,471.74,0.0,0.0,317.91
49,1707.16,394.26,306.46,163.95,1135.04,343.36,228.76,0.134,15,healthy,134.28,570.04,75.08,106.53,94.44,63.54,60.14,0.0,30.99,0.0,0.0,125.05,26.98,49.98,44.21,44.57,22.86,29.71
50,1505.2,347.62,398.3,522.32,790.64,276.94,437.62,0.2907,13,healthy,133.2,363.24,61.14,93.28,53.87,45.51,40.4,0.0,0.0,0.0,99.81,50.07,0.0,46.95,42.07,0.0,20.18,17.86
51,7519.56,1736.62,3223.22,2391.66,4779.99,1544.94,1194.63,0.1589,16,healthy,915.37,2017.82,410.05,397.15,420.03,242.61,201.12,0.0,175.84,556.0,180.38,0.0,51.19,138.62,91.07,295.4,102.12,130.16
52,5840.78,1348.91,0,0,4324.09,1767.84,-251.15,-0.043,17,over,651.28,1920.69,361.34,379.5,339.17,213.3,127.31,219.56,111.94,311.33,271.68,511.11,95.49,0.0,305.34,89.8,71.29,111.8
53,6090.34,1406.55,389.21,303.5,4165.61,1697.37,227.36,0.0373,16,tight,551.69,2012.3,348.48,376.8,291.06,287.12,148.35,0.0,149.81,93.39,330.25,547.87,72.55,188.96,161.33,0.0,120.2,182.82
54,1805.38,416.95,182.79,104.1,1088.46,405.19,311.73,0.1727,14,healthy,146.22,508.79,70.66,87.9,100.76,93.87,53.82,0.0,26.44,0.0,0.0,189.09,47.92,55.95,0.0,39.98,19.94,52.31
55,5981.79,1381.48,462.76,806.02,4036.47,1733.11,212.21,0.0355,16,tight,613.26,1936.19,248.58,409.75,253.78,172.12,218.45,184.34,0.0,398.89,225.46,545.65,131.42,0.0,132.63,192.31,60.22,46.53
56,3567.09,823.81,403.2,869.77,2378.29,861.68,327.12,0.0917,14,tight,427.01,1104.4,186.64,203.01,192.65,107.86,92.77,0.0,63.95,249.53,184.95,0.0,44.71,0.0,165.07,122.98,94.44,0.0
57,3184.78,735.52,203.37,221.98,2392.58,213.8,578.4,0.1816,11,healthy,412.46,1156.96,195.75,234.01,120.39,95.48,104.08,0.0,73.45,0.0,0.0,0.0,0.0,103.11,0.0,45.94,64.75,0.0
58,3074.08,709.95,589.0,532.41,2037.74,500.68,535.66,0.1743,15,healthy,365.21,933.85,113.92,196.65,139.98,141.28,98.65,0.0,48.2,127.16,82.57,0.0,84.95,31.38,56.07,0.0,78.03,40.52
59,5955.39,1375.38,670.1,226.78,3596.23,1480.13,879.03,0.1476,14,healthy,769.51,1299.31,309.99,396.55,378.97,169.14,153.17,0.0,119.59,274.9,0.0,437.39,127.08,197.35,277.25,0.0,166.16,0.0
60,4110.06,949.21,513.68,375.27,2402.46,749.04,958.56,0.2332,13,healthy,451.97,926.85,160.77,246.07,207.63,140.65,141.79,126.73,0.0,223.13,204.07,94.48,0.0,0.0,202.38,0.0,24.98,0.0
61,3896.74,899.94,106.78,61.0,2900.88,838.7,157.16,0.0403,16,tight,473.27,1362.09,185.41,222.06,168.1,143.97,145.09,200.89,0.0,140.96,176.08,0.0,58.89,138.83,69.34,78.05,50.62,125.93
62,7230.04,1669.76,2263.86,1360.7,4308.01,1613.45,1308.58,0.181,15,healthy,595.12,1927.02,464.0,376.5,303.26,274.11,211.49,0.0,156.51,142.24,0.0,683.83,223.82,141.08,0.0,100.52,111.49,210.47
63,3529.08,815.03,2011.62,868.3,1910.39,944.78,673.91,0.191,16,healthy,422.0,715.6,158.22,179.76,177.88,120.85,76.09,0.0,59.99,89.94,250.4,181.77,82.83,35.22,102.18,163.47,0.0,38.97
64,4345.61,1003.61,656.65,772.25,2508.47,1278.62,558.52,0.1285,17,healthy,360.18,1056.05,156.62,220.97,205.8,128.04,101.99,176.53,102.29,182.21,290.11,148.55,0.0,191.36,142.63,229.57,60.83,33.36
65,3902.81,901.34,3055.12,2351.16,2496.67,748.57,657.57,0.1685,16,healthy,505.38,920.05,223.02,247.03,177.79,122.59,140.75,160.06,0.0,0.0,51.5,285.96,44.2,45.58,60.0,99.21,100.93,61.19
66,16491.8,3808.73,2128.52,1680.42,10780.76,4685.96,1025.08,0.0622,15,tight,1326.8,5153.99,966.58,1042.32,729.0,512.19,627.98,0.0,421.9,1386.6,0.0,1687.14,216.7,0.0,214.27,806.44,222.41,152.4
67,3121.03,720.79,52.99,62.91,1962.77,1039.78,118.48,0.038,16,tight,383.59,808.52,183.07,216.28,151.49,89.89,80.21,0.0,49.72,275.75,204.72,239.8,23.74,85.56,103.96,41.56,64.69,0.0
68,4399.35,1016.02,2531.28,2021.54,2490.12,1116.68,792.55,0.1802,15,healthy,314.75,1077.95,265.34,247.72,241.22,180.63,162.51,0.0,0.0,140.64,0.0,343.47,97.86,149.19,122.45,133.59,36.82,92.66
69,2257.19,521.29,14.86,15.09,1594.47,652.84,9.88,0.0044,15,tight,181.42,811.06,87.55,175.11,146.53,108.39,84.41,0.0,0.0,89.07,145.39,146.79,23.6,115.76,30.57,55.24,46.42,0.0
70,4803.44,1109.34,79.3,79.95,3126.02,1490.73,186.69,0.0389,14,tight,450.32,1498.7,236.6,266.15,282.49,231.67,160.09,0.0,0.0,350.9,232.0,481.35,103.25,0.0,57.42,211.95,53.86,0.0
71,17046.34,3936.8,3068.72,3131.62,10437.68,4907.87,1700.79,0.0998,16,tight,1473.47,4787.64,659.97,944.5,687.43,717.4,408.16,759.11,0.0,0.0,1191.46,1346.53,112.54,160.24,614.54,770.99,430.97,280.6
72,5168.97,1193.76,0,0,3636.0,1714.56,-181.59,-0.0351,18,over,364.11,1852.4,267.98,269.72,255.62,179.03,134.32,225.55,87.27,391.56,105.43,230.56,145.27,236.33,206.15,265.32,57.37,76.57
73,6732.27,1554.8,4756.76,4051.22,4251.05,764.24,1716.98,0.255,15,healthy,745.82,1420.52,385.94,473.76,288.25,326.04,246.38,200.01,164.33,128.29,0.0,0.0,155.39,156.44,208.32,0.0,41.35,74.45
74,1933.71,446.58,527.79,526.15,1300.78,358.39,274.54,0.142,14,healthy,185.18,534.1,98.65,147.34,111.58,54.98,66.14,68.63,34.18,0.0,76.12,110.29,0.0,60.07,0.0,88.06,0.0,23.85
75,4074.73,941.05,817.37,404.28,2959.21,462.54,652.98,0.1603,14,healthy,499.53,1164.7,264.22,267.01,226.93,151.29,120.36,175.73,89.44,103.03,0.0,116.52,0.0,0.0,0.0,132.6,60.55,49.84
76,1610.43,371.92,172.58,154.45,1195.76,350.91,63.76,0.0396,17,tight,168.21,572.51,60.0,120.11,78.43,55.3,57.4,59.02,24.78,25.32,51.08,67.88,26.22,47.59,49.15,26.58,57.09,0.0
77,5222.65,1206.15,0,0,3702.51,1695.44,-175.3,-0.0336,17,over,609.75,1780.46,296.75,310.18,321.86,154.19,110.84,0.0,118.48,420.36,256.4,320.55,54.62,191.05,165.82,85.87,83.18,117.59
78,4176.04,964.44,129.61,194.61,3132.68,963.9,79.46,0.019,16,tight,417.22,1506.52,148.39,180.78,249.64,213.47,154.62,162.65,99.39,303.01,141.14,0.0,25.33,187.92,57.57,192.02,56.91,0.0
79,3006.9,694.43,1882.32,1265.8,1947.09,651.19,408.62,0.1359,15,healthy,347.08,909.26,116.36,175.8,150.72,84.5,93.09,0.0,70.28,84.26,0.0,218.16,55.81,60.65,66.86,0.0,97.99,67.46
80,3436.25,793.59,2553.83,1372.23,2225.09,478.49,732.67,0.2132,13,healthy,300.45,1061.66,187.28,206.67,153.5,125.26,107.47,0.0,82.8,259.84,0.0,0.0,41.23,0.0,69.68,76.56,0.0,31.18
81,4777.77,1103.41,1245.97,1539.8,3237.71,1019.87,520.19,0.1089,18,healthy,480.92,1495.19,173.96,272.31,265.43,139.94,117.81,184.58,107.57,336.28,112.8,118.02,45.77,99.81,44.21,51.59,139.56,71.83
82,2829.94,653.57,1027.74,512.55,1818.55,732.76,278.63,0.0985,17,tight,229.32,794.83,144.64,141.39,127.22,94.07,86.45,145.88,54.75,174.28,88.45,149.21,94.35,127.71,0.0,49.97,31.19,17.6
83,5671.33,1309.78,2646.04,3197.39,3586.31,1194.99,890.03,0.1569,15,healthy,466.94,1948.73,272.55,252.92,202.55,163.95,137.27,0.0,141.4,257.1,108.31,134.37,0.0,142.33,226.07,287.54,39.27,0.0
84,5920.27,1367.27,634.91,316.9,4123.89,1296.96,499.42,0.0844,14,tight,465.6,2069.62,336.74,451.01,305.79,166.49,181.57,0.0,147.07,375.63,0.0,0.0,70.04,280.34,318.18,130.72,0.0,122.05
85,2604.71,601.55,228.28,187.02,1521.35,686.9,396.46,0.1522,14,healthy,212.57,654.22,145.35,162.55,166.08,92.51,88.07,0.0,0.0,103.84,152.34,0.0,22.03,127.91,96.89,123.02,60.87,0.0
86,14721.04,3399.78,6826.46,3155.75,9000.92,2548.43,3171.69,0.2155,14,healthy,1715.18,3437.58,839.05,864.57,690.46,646.31,522.85,0.0,284.92,948.86,603.71,0.0,116.09,0.0,0.0,371.8,108.83,399.14
87,4347.7,1004.09,1255.95,952.37,2857.75,817.3,672.65,0.1547,13,healthy,474.86,1329.36,219.56,324.62,198.21,172.54,138.6,0.0,0.0,0.0,107.35,358.93,0.0,180.04,80.35,43.52,47.11,0.0
88,15166.41,3502.64,747.92,586.99,10207.24,3959.92,999.25,0.0659,15,tight,1430.61,4597.25,862.05,1154.18,806.79,599.98,430.63,0.0,325.75,0.0,1021.32,0.0,151.15,757.1,549.75,545.86,433.33,501.41
89,5044.09,1164.92,1711.18,1053.15,3201.94,1124.0,718.15,0.1424,16,healthy,465.18,1437.61,297.94,281.06,288.74,225.58,118.08,0.0,87.75,147.17,235.45,0.0,134.34,80.54,239.46,107.95,92.79,86.3
90,7592.52,1753.47,3012.7,1707.28,4141.94,1884.49,1566.09,0.2063,15,healthy,594.36,1640.03,444.11,346.31,444.78,324.49,166.56,0.0,181.3,164.08,368.55,410.44,265.02,128.22,0.0,386.32,0.0,161.86
91,2500.43,577.47,101.23,45.23,1645.07,831.06,24.3,0.0097,16,tight,198.65,817.6,117.17,151.62,92.66,87.08,93.69,86.6,0.0,145.32,45.98,258.12,80.72,100.61,109.13,74.13,17.05,0.0
92,9200.65,2124.86,2361.18,1961.21,5590.66,2119.72,1490.27,0.162,15,healthy,871.72,2631.3,394.71,518.56,416.42,297.03,229.4,0.0,231.52,300.08,236.94,460.43,0.0,0.0,286.78,479.44,142.27,213.78
93,2833.14,654.3,319.7,122.08,1922.56,612.63,297.95,0.1052,15,healthy,296.35,935.72,145.14,159.13,114.02,126.81,94.64,0.0,50.75,159.06,138.21,104.68,89.61,0.0,0.0,54.64,37.04,29.39
94,4268.94,985.9,0,0,2975.46,1489.44,-195.96,-0.0459,17,over,527.61,1219.67,211.73,311.23,162.09,141.61,154.12,146.14,101.26,176.45,198.96,453.12,90.99,53.48,222.19,216.8,77.45,0.0
95,2901.21,670.03,1992.86,1231.59,1816.09,565.76,519.36,0.179,14,healthy,315.3,785.47,133.15,222.69,117.55,131.89,110.04,0.0,0.0,0.0,0.0,195.42,83.99,46.37,66.5,107.9,19.87,45.71
96,2448.49,565.47,271.44,376.51,1527.03,813.69,107.77,0.044,14,tight,250.62,667.71,150.14,159.21,152.46,81.9,64.99,0.0,0.0,175.98,107.99,210.55,73.31,82.44,70.2,93.22,0.0,0.0
97,18075.75,4174.54,8104.04,2961.66,11877.45,3361.25,2837.05,0.157,14,healthy,2007.83,5798.91,856.56,877.88,978.02,624.17,440.69,0.0,293.39,1240.72,0.0,0.0,293.86,974.43,431.31,208.25,0.0,212.68
98,6995.85,1615.67,1543.39,1766.62,5034.7,1181.72,779.43,0.1114,15,healthy,813.43,2238.11,341.58,425.07,344.11,248.29,226.14,283.35,114.62,219.21,220.17,201.27,0.0,0.0,212.6,91.13,0.0,237.34
99,3304.53,763.17,1247.14,1129.72,1905.77,737.26,661.5,0.2002,16,healthy,252.61,823.52,179.57,244.88,117.78,149.98,71.74,0.0,65.69,129.79,158.34,0.0,64.38,97.26,138.84,83.87,26.11,38.67
100,4644.05,1072.53,2013.06,2361.72,2186.67,1182.42,1274.96,0.2745,14,healthy,351.9,944.39,187.43,212.95,166.96,173.35,149.69,0.0,0.0,74.22,314.41,350.64,151.92,54.0,195.26,0.0,0.0,41.97
101,3437.99,793.99,776.64,720.27,2127.01,1128.97,182.01,0.0529,16,tight,277.56,913.65,186.2,201.17,211.38,111.15,93.08,132.82,0.0,135.28,130.07,236.13,116.15,100.17,183.03,184.63,43.51,0.0
102,5141.34,1187.38,1346.96,758.51,3107.58,1219.2,814.56,0.1584,15,healthy,536.22,1405.34,220.82,262.18,226.29,214.18,115.11,0.0,127.44,113.88,0.0,269.1,82.42,261.49,219.26,192.94,0.0,80.11
103,2231.58,515.38,309.38,128.59,1400.47,425.15,405.96,0.1819,15,healthy,208.82,660.5,92.97,125.4,83.61,65.13,50.27,69.47,44.3,0.0,125.28,0.0,35.04,0.0,62.62,79.72,79.5,42.99
104,4311.98,995.84,277.69,277.98,2975.93,1210.8,125.25,0.029,15,tight,490.31,1380.91,231.25,310.32,195.32,152.31,116.31,0.0,99.2,385.59,149.18,176.75,0.0,91.45,51.74,215.94,0.0,140.15
105,14846.62,3428.78,4768.72,6077.97,8604.54,4089.87,2152.21,0.145,15,healthy,1571.16,3405.98,769.35,644.8,655.45,680.95,494.65,0.0,382.2,0.0,523.05,1528.79,0.0,396.08,481.5,592.28,279.03,289.14
106,9450.35,2182.53,1848.52,970.5,6389.13,2200.52,860.7,0.0911,16,tight,836.73,2683.89,613.05,446.3,590.77,391.02,218.6,429.51,179.26,803.59,268.65,0.0,0.0,345.31,183.25,237.85,199.14,162.73
107,3112.88,718.91,0,0,2342.82,845.95,-75.89,-0.0244,15,over,398.85,1107.04,171.64,153.66,198.11,133.28,113.95,0.0,66.29,138.71,137.48,66.82,100.64,0.0,165.83,135.2,0.0,101.27
108,4109.09,948.98,0,0,2933.99,1205.15,-30.05,-0.0073,16,over,415.09,1378.28,232.9,287.78,229.63,155.84,99.5,134.97,0.0,341.21,79.77,208.19,122.19,107.0,205.68,64.73,0.0,76.38
109,9841.74,2272.92,3755.8,3020.48,5368.59,1888.03,2585.12,0.2627,15,healthy,691.01,1949.17,491.68,628.76,408.49,382.74,313.18,341.25,162.31,0.0,203.95,711.52,0.0,0.0,160.03,398.53,344.36,69.64
110,1927.32,445.11,133.82,117.57,1182.98,528.61,215.73,0.1119,16,healthy,198.57,421.31,83.31,117.34,102.84,87.73,74.72,97.16,0.0,74.65,64.05,124.83,21.95,102.28,0.0,27.58,69.32,43.95
111,2601.75,600.87,112.86,93.16,1711.83,649.57,240.35,0.0924,12,tight,229.01,845.21,117.07,162.56,156.0,124.91,77.07,0.0,0.0,0.0,166.29,237.47,0.0,89.54,25.59,130.68,0.0,0.0
112,4331.94,1000.45,2061.73,1337.63,2316.48,458.93,1556.53,0.3593,11,healthy,460.66,934.1,191.68,292.64,162.9,159.93,114.57,0.0,0.0,0.0,0.0,0.0,129.83,0.0,133.24,102.79,0.0,93.07
113,8089.38,1868.22,659.97,761.74,4826.41,1339.19,1923.78,0.2378,14,healthy,568.25,2519.24,304.26,353.2,443.05,338.63,299.78,0.0,0.0,388.97,0.0,156.7,98.67,124.34,161.93,196.11,0.0,212.47
114,9565.1,2209.03,1947.77,1583.1,6244.56,2347.45,973.09,0.1017,17,healthy,1030.8,2591.19,430.14,662.89,357.32,443.31,216.87,290.15,221.89,246.58,323.37,456.55,197.28,0.0,450.13,333.45,262.35,77.74
115,5095.9,1176.88,754.14,1195.73,3284.9,874.95,936.05,0.1837,14,healthy,654.48,1290.48,268.71,293.9,261.6,223.72,192.38,0.0,99.63,143.77,0.0,0.0,148.5,197.25,249.33,45.91,0.0,90.19
